geo;time;unit;values
Albania;2018-01-01;Number;161
Albania;2020-01-01;Number;191
Austria;2018-01-01;Number;562
Austria;2020-01-01;Number;570
Belgium;2018-01-01;Number;511
Belgium;2020-01-01;Number;510
Bulgaria;2018-01-01;Number;396
Bulgaria;2020-01-01;Number;414
Croatia;2018-01-01;Number;409
Croatia;2020-01-01;Number;433
Cyprus;2018-01-01;Number;629
Cyprus;2020-01-01;Number;645
Czechia;2018-01-01;Number;540
Czechia;2020-01-01;Number;565
Denmark;2018-01-01;Number;447
Denmark;2020-01-01;Number;466
Estonia;2018-01-01;Number;563
Estonia;2020-01-01;Number;608
Finland;2018-01-01;Number;629
Finland;2020-01-01;Number;652
France;2018-01-01;Number;569
France;2020-01-01;Number;567
Germany;2018-01-01;Number;567
Germany;2020-01-01;Number;580
Greece;2018-01-01;Number;493
Greece;2020-01-01;Number;514
Hungary;2018-01-01;Number;373
Hungary;2020-01-01;Number;403
Iceland;2018-01-01;Number;749
Iceland;2020-01-01;Number;731
Ireland;2018-01-01;Number;445
Ireland;2020-01-01;Number;458
Italy;2018-01-01;Number;652
Italy;2020-01-01;Number;670
Kosovo;2018-01-01;Number;143
Kosovo;2020-01-01;NA;NA
Latvia;2018-01-01;Number;369
Latvia;2020-01-01;Number;390
Liechtenstein;2018-01-01;Number;780
Liechtenstein;2020-01-01;Number;779
Lithuania;2018-01-01;Number;512
Lithuania;2020-01-01;Number;560
Luxembourg;2018-01-01;Number;676
Luxembourg;2020-01-01;Number;682
Malta;2018-01-01;Number;608
Malta;2020-01-01;Number;597
Montenegro;2018-01-01;Number;332
Montenegro;2020-01-01;Number;338
Netherlands;2018-01-01;Number;494
Netherlands;2020-01-01;Number;503
North Macedonia;2018-01-01;Number;200
North Macedonia;2020-01-01;Number;207
Norway;2018-01-01;Number;516
Norway;2020-01-01;Number;544
Poland;2018-01-01;Number;617
Poland;2020-01-01;Number;664
Portugal;2018-01-01;Number;514
Portugal;2020-01-01;Number;540
Romania;2018-01-01;Number;332
Romania;2020-01-01;Number;379
Serbia;2018-01-01;NA;NA
Serbia;2020-01-01;Number;315
Slovakia;2018-01-01;Number;426
Slovakia;2020-01-01;Number;447
Slovenia;2018-01-01;Number;549
Slovenia;2020-01-01;Number;555
Spain;2018-01-01;Number;513
Spain;2020-01-01;Number;521
Sweden;2018-01-01;Number;476
Sweden;2020-01-01;Number;476
Switzerland;2018-01-01;Number;539
Switzerland;2020-01-01;Number;537
TÃ¼rkiye;2018-01-01;Number;151
TÃ¼rkiye;2020-01-01;Number;157
United Kingdom;2018-01-01;Number;473
United Kingdom;2020-01-01;NA;NA
